%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=211500, 2015/05/8 16:25:46.10)
1 14 9.551477e+00 1.039690e+04  3.070255518904082600e-04  3.070255518904082600e-04  4.939412401060974600e-04  1.200982350240305300e-03
2 27 9.146784e+00 1.052941e+04  3.047836530855348000e-04  3.047836530855348000e-04  6.834408664403163100e-04  1.368936067371263800e-03
3 40 8.786274e+00 1.067223e+04  3.047836530855348000e-04  3.064488877704740100e-04  4.845179803166127300e-04  2.680470836482024600e-03
4 53 8.232431e+00 1.075656e+04  3.047836530855348000e-04  3.070489479209053200e-04  4.405567142929158700e-04  1.213678449755301900e-03
5 66 8.025868e+00 1.078366e+04  3.047836530855348000e-04  3.066881585531790000e-04  4.695944120328067900e-04  1.194889945593106200e-03
6 79 7.772436e+00 1.072693e+04  3.047836530855348000e-04  3.057328749704756500e-04  4.952982588554638900e-04  6.854376477648596600e-04
7 92 7.584803e+00 1.092459e+04  3.047836530855348000e-04  3.061021052545399400e-04  6.782714588038920500e-04  2.680470836482024600e-03
8 105 7.627692e+00 1.115079e+04  3.047836530855348000e-04  3.064957677361921600e-04  5.074269011037579700e-04  1.209192374510924000e-03
9 118 7.946341e+00 1.123015e+04  2.479772831082272100e-04  2.479772831082272100e-04  4.445685488726683500e-04  2.680470836482024600e-03
10 131 8.109991e+00 1.127083e+04  2.479772831082272100e-04  3.062359566536033100e-04  4.564750523804982400e-04  1.212046759825793700e-03
11 144 8.328343e+00 1.131183e+04  2.479772831082272100e-04  3.046161375753335200e-04  5.068085342559321100e-04  2.680470836482024600e-03
12 157 8.471325e+00 1.136136e+04  2.479772831082272100e-04  3.062834963654022000e-04  4.782919646646122900e-04  7.609954770097182800e-04
