%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=211500, 2015/05/8 16:25:46.10)
1 14  3.070255518904082600e-04 0 0 1.039447e-03 -7.014075e-04 9.047553e+01 1.842371e-03 1.679559e-04 5.104910e-04 1.046840e+01 1.716489e-04 4.742202e-04 4.482564e-01 2.068245e+00 9.996016e-02 1.036833e+02 1.010872e+01 4.980408e-04 -9.035080e-04 -8.850720e-04 1.354793e-03 1.712627e-03 1.087321e-03 1.018220e-01 9.865234e+00 
2 27  3.047836530855348000e-04 0 0 8.021584e-04 6.435208e-04 9.139339e+01 9.798093e-04 8.896592e-04 2.684118e-03 9.757797e+00 3.848392e-04 5.100123e-04 4.428881e-01 1.976271e+00 1.022750e-01 1.019169e+02 9.980411e+00 -6.177447e-04 -1.755395e-03 3.673309e-04 7.791436e-04 1.348095e-03 5.550880e-04 1.007491e-01 9.798657e+00 
3 40  3.064488877704740100e-04 0 0 1.227499e-03 1.059921e-03 1.061251e+02 -2.071461e-05 8.476327e-04 1.587217e-03 1.062319e+01 2.452503e-04 7.683842e-04 3.712732e-01 2.019972e+00 1.009698e-01 9.182927e+01 9.822472e+00 8.729565e-05 3.286911e-04 1.775367e-03 6.250921e-04 9.445918e-04 5.432244e-04 9.973278e-02 9.868795e+00 
4 53  3.070489479209053200e-04 0 0 1.196342e-03 4.919281e-04 9.204873e+01 -9.251221e-04 4.020586e-05 1.648891e-03 1.078078e+01 -8.379054e-04 1.085861e-04 4.141549e-01 1.985302e+00 1.007028e-01 1.024594e+02 1.002596e+01 -2.774149e-04 1.845548e-04 1.878485e-03 1.018480e-03 -2.128676e-04 1.784341e-03 9.912044e-02 9.895414e+00 
5 66  3.066881585531790000e-04 0 0 2.148845e-03 -6.702310e-04 9.654292e+01 2.724170e-04 -1.160009e-03 -9.649478e-04 1.042929e+01 2.064263e-03 -2.937264e-04 5.265141e-01 1.986522e+00 9.942126e-02 9.424239e+01 8.953465e+00 -1.203760e-03 -6.708612e-04 2.425031e-04 7.298634e-05 -6.055933e-04 2.264363e-03 9.904480e-02 9.871540e+00 
6 79  3.057328749704756500e-04 0 0 1.161050e-03 5.365702e-04 1.051605e+02 3.915542e-04 -9.473360e-04 -4.476920e-04 1.036609e+01 8.839334e-06 2.421846e-05 4.806615e-01 1.925788e+00 1.018652e-01 1.004197e+02 1.021544e+01 -3.380643e-04 -2.208793e-04 8.116082e-04 -8.675854e-04 -1.614902e-04 2.452726e-04 9.971686e-02 9.851689e+00 
7 92  3.061021052545399400e-04 0 0 1.466635e-03 -5.863430e-04 8.239330e+01 -1.385888e-03 -1.560486e-04 1.503037e-03 1.020669e+01 1.831360e-03 3.563883e-04 4.397178e-01 1.867614e+00 1.003855e-01 9.450473e+01 1.038188e+01 -9.823734e-04 -1.122815e-03 1.069115e-03 1.293131e-03 -1.678982e-03 8.055513e-04 9.988601e-02 9.969077e+00 
8 105  3.064957677361921600e-04 0 0 1.167386e-03 4.833029e-04 7.555518e+01 -4.016624e-04 -6.594581e-04 1.093384e-03 1.118001e+01 2.886249e-03 -2.367519e-04 4.635555e-01 1.917082e+00 1.017280e-01 9.014420e+01 1.084009e+01 -3.807251e-04 -1.364289e-03 1.891581e-03 9.030201e-05 -9.759468e-04 1.352242e-03 9.950529e-02 9.905324e+00 
9 118  2.479772831082272100e-04 0 0 2.040738e-03 -9.080198e-04 9.467971e+01 -5.650593e-04 -4.811629e-04 1.190177e-03 8.895008e+00 3.798487e-03 -7.417728e-04 5.295714e-01 1.853729e+00 1.016416e-01 9.693965e+01 1.122296e+01 1.076006e-03 -1.677707e-03 1.506147e-03 2.653727e-04 -1.535293e-03 1.048492e-03 9.839665e-02 9.938006e+00 
10 131  3.062359566536033100e-04 0 0 1.768685e-03 1.064532e-03 9.428531e+01 -1.190161e-03 -3.064857e-04 1.971957e-03 8.851677e+00 2.378493e-03 -4.014389e-04 3.256005e-01 1.856193e+00 1.014512e-01 9.668180e+01 1.025912e+01 2.652204e-04 -5.275878e-05 1.363262e-03 -1.223766e-03 -1.255214e-03 1.846665e-03 9.951648e-02 9.898024e+00 
11 144  3.046161375753335200e-04 0 0 2.226933e-03 7.235992e-04 8.374216e+01 -6.361543e-04 -1.019379e-03 2.715365e-03 9.857735e+00 4.535333e-03 -5.177344e-04 4.684368e-01 1.812906e+00 1.029779e-01 9.049240e+01 1.113125e+01 5.842398e-04 -6.207455e-04 3.299042e-03 6.540960e-06 -1.262262e-03 2.433360e-03 1.001850e-01 1.000356e+01 
12 157  3.062834963654022000e-04 0 0 2.459738e-03 6.154514e-04 8.628889e+01 -6.485787e-04 -9.710705e-04 2.964505e-03 9.564170e+00 3.571645e-03 -1.817131e-04 3.760500e-01 1.910831e+00 1.027504e-01 1.103963e+02 1.110521e+01 5.287192e-04 -2.137232e-03 1.264835e-03 -8.522559e-04 -9.538885e-04 2.671924e-03 1.013020e-01 1.004102e+01 
