%  columns="iteration, evaluation, void, void, void, xmean" (startseed=211500, 2015/05/8 16:25:46.10)
0 1 0 0 0 1.000000e-03 1.000000e-03 1.000000e+02 1.000000e-03 1.000000e-03 1.000000e-03 1.000000e+01 1.000000e-03 1.000000e-03 5.000000e-01 2.000000e+00 1.000000e-01 1.000000e+02 1.000000e+01 1.000000e-06 1.000000e-03 1.000000e-03 1.000000e-03 1.000000e-03 1.000000e-03 1.000000e-01 1.000000e+01 
1 14 0 0 0 9.866505e-04 -2.455197e-05 9.894678e+01 6.964472e-04 5.786544e-04 7.829295e-04 1.041535e+01 6.007430e-04 7.959099e-04 4.428073e-01 1.998046e+00 9.979015e-02 1.020695e+02 9.735097e+00 -5.080818e-05 -9.235002e-04 5.180976e-04 1.333206e-03 1.055320e-03 1.470438e-03 1.008007e-01 9.918260e+00 
2 27 0 0 0 1.270746e-03 5.558989e-04 9.184764e+01 6.785241e-04 1.004638e-03 1.041806e-03 1.033376e+01 4.315474e-04 3.552767e-04 4.663726e-01 2.011167e+00 1.006010e-01 9.480339e+01 1.011701e+01 -5.659385e-05 -1.031249e-03 6.341822e-04 1.235964e-03 5.184643e-04 1.048907e-03 1.007341e-01 9.837583e+00 
3 40 0 0 0 1.557741e-03 9.828654e-05 9.252345e+01 2.714880e-04 1.038480e-03 1.319896e-03 1.030124e+01 5.510827e-06 2.275207e-04 4.557446e-01 2.022327e+00 1.011005e-01 9.278906e+01 9.474967e+00 -2.573895e-05 -7.733345e-04 7.900099e-04 1.323076e-03 2.516242e-04 1.054055e-03 1.004343e-01 9.817969e+00 
4 53 0 0 0 1.782834e-03 3.560885e-04 8.929490e+01 2.592604e-04 5.745913e-04 1.477986e-03 9.985991e+00 1.615107e-04 2.941160e-04 4.018675e-01 1.988352e+00 1.009814e-01 9.656213e+01 9.586452e+00 -2.635873e-04 -3.953600e-04 7.801680e-04 1.394080e-03 8.148872e-05 1.183602e-03 9.984163e-02 9.853966e+00 
5 66 0 0 0 1.715377e-03 -5.294918e-04 9.257421e+01 4.403492e-04 -1.226319e-04 5.421304e-04 9.917860e+00 5.668569e-04 -2.064975e-04 4.245187e-01 1.936626e+00 1.006119e-01 1.000002e+02 9.659353e+00 -3.810304e-04 -8.484062e-04 3.673844e-04 5.991265e-04 -4.682988e-04 1.854540e-03 9.993836e-02 9.853926e+00 
6 79 0 0 0 1.660136e-03 -1.172619e-04 9.642001e+01 1.395672e-04 -5.642531e-04 6.500023e-04 9.917001e+00 5.769973e-04 4.697901e-05 4.313807e-01 1.935190e+00 1.016883e-01 9.773452e+01 9.862062e+00 -5.339962e-04 -4.002694e-04 4.324174e-04 1.714489e-04 -5.377179e-04 1.162984e-03 9.983534e-02 9.857807e+00 
7 92 0 0 0 1.445282e-03 -1.692474e-04 9.116995e+01 -2.492128e-04 -5.433742e-04 1.087859e-03 1.033139e+01 1.556171e-03 2.667936e-04 4.624988e-01 1.918241e+00 1.011900e-01 9.776190e+01 1.037635e+01 -4.148056e-04 -6.608188e-04 1.106480e-03 3.419446e-04 -1.049285e-03 9.218877e-04 9.956167e-02 9.915113e+00 
8 105 0 0 0 1.513429e-03 3.018018e-04 8.797250e+01 -7.124316e-04 -5.357831e-04 1.194255e-03 1.048451e+01 2.200577e-03 3.449378e-05 4.808122e-01 1.869960e+00 1.016137e-01 9.376717e+01 1.047310e+01 -1.519024e-04 -8.595132e-04 1.550515e-03 -3.400693e-05 -9.944323e-04 8.797345e-04 9.929398e-02 9.889397e+00 
9 118 0 0 0 1.594697e-03 1.315340e-04 9.438570e+01 -6.654030e-04 -3.124937e-04 1.113462e-03 9.529492e+00 2.859839e-03 -2.201134e-04 4.903479e-01 1.863943e+00 1.017503e-01 9.579183e+01 1.063570e+01 9.293294e-04 -9.706719e-04 1.730805e-03 -3.162638e-04 -1.555422e-03 7.168735e-04 9.849953e-02 9.902772e+00 
10 131 0 0 0 1.843365e-03 4.696128e-04 8.924230e+01 -7.441506e-04 -6.564897e-04 1.907239e-03 9.227942e+00 2.818696e-03 -7.016737e-04 4.258328e-01 1.859394e+00 1.017915e-01 9.838171e+01 1.055153e+01 9.109620e-04 -5.029917e-04 1.576916e-03 -9.372912e-04 -1.567982e-03 1.041407e-03 9.910784e-02 9.910956e+00 
11 144 0 0 0 2.224046e-03 5.364646e-04 8.774019e+01 -1.154358e-03 -9.524413e-04 2.196422e-03 9.377880e+00 3.371228e-03 -2.044946e-04 4.600725e-01 1.791968e+00 1.019282e-01 9.423772e+01 1.084138e+01 1.062742e-03 -3.707812e-04 1.917654e-03 -5.625666e-04 -1.262462e-03 1.993028e-03 9.926794e-02 9.973416e+00 
12 157 0 0 0 2.619193e-03 7.784063e-04 8.703187e+01 -1.348554e-03 -6.607534e-04 2.652089e-03 9.561598e+00 3.251672e-03 -6.988920e-05 4.390064e-01 1.802651e+00 1.020372e-01 9.836833e+01 1.111814e+01 7.817842e-04 -7.250558e-04 1.916674e-03 -8.817363e-04 -1.301009e-03 2.028041e-03 1.004935e-01 9.998737e+00 
